type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
数据分析师,数据分析师[东四],展动力人才资讯,30000,40000,经验不限,本科,专业服务｜咨询 / 不需要融资 / 50-150人,50-150,PL/SQL/R语言/专业服务｜咨询/数据挖掘/Python,双休 不加班 全额五险一金,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/43/A4/CioPOWC6ADiABgmEAAAHSdjLb-I919.png,北京
数据分析师,数据分析师[西北旺],建文管理咨询,100000,150000,经验在校,应届,专业服务｜咨询 / 未融资 / 50-150人,50-150,软件服务｜咨询/专业服务｜咨询,提升岗位认知技能，为就业打下坚实的基础,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,数据分析师[中关村],腾骏人力资源,30000,50000,经验5-10年,本科,"专业服务｜咨询,IT技术服务｜咨询 / 未融资 / 500-2000人",500-2000,电商平台,年终奖 带薪年假,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/52/12/CioPOWELe5uAYBNZAAAv0UKqD38514.png,北京
数据分析师,抖音数据分析师[朝阳区],字节跳动,15000,30000,经验3-5年,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,运营,"下午茶,健身瑜伽,六险一金,团队氛围好",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,数据分析师-剪映[海淀区],字节跳动,20000,40000,经验不限,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,六险一金,股票期权",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,数据分析师[西直门],君和佳仕,25000,35000,经验3-5年,本科,"营销服务｜咨询,专业服务｜咨询 / 未融资 / 少于15人",15,社交平台/SQL,万达商管,https://www.lgstatic.com/thumbnail_120x120/10/25b2ac5d151846d7ae62deb4f5218436.jpeg,北京
数据分析师,数据分析师[望京],森聚人力资源管理,25000,35000,经验1-3年,本科,"软件服务｜咨询,数据服务｜咨询,专业服务｜咨询 / 未融资 / 50-150人",50-150,消费生活/SQL Server/电商平台,发展空间大,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/5C/EC/CioPOWFo5tyAPFLhAAAVw4-mXHg828.png,北京
数据分析师,数据分析师[朝阳区],加州格林咨询,30000,50000,经验不限,本科,专业服务｜咨询 / 不需要融资 / 150-500人,150-500,商业分析/电商平台/SQL/Python/经营分析,上市集团，明星赛道,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8F/07/CgqCHmAGiZuAFNaPAAAKF4db6qs224.png,北京
数据分析师,高级数据分析师[丰台区],江苏林洋光伏运维有限公司,22000,35000,经验5-10年,本科,新能源汽车制造 / 不需要融资 / 150-500人,150-500,新能源汽车制造,"五险一金,定期体检,专业培训",https://www.lgstatic.com/thumbnail_120x120/10/0a6f52c31e0b43489f9777deaf0289fa.png,北京
数据分析师,数据分析师（职位编号：LZHR183）[大兴区],朗致集团有限公司,20000,35000,经验5-10年,本科,无,[0],,"五险一金,公司规模大,职位晋升",https://www.lgstatic.com/thumbnail_120x120/10/1f4753a76c284a86a09aff3e9e8d0d1f.png,北京
数据分析师,外资数据分析师（6个月项目）[朝阳区],万宝盛华企业管理咨询（上海）有限公司北京分公司,20000,25000,经验3-5年,本科,"专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 500-2000人",500-2000,营销服务｜咨询/专业服务｜咨询,"五险一金,待遇好,氛围好",https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,某外企-数据分析师-北京[海淀区],上海前锦众程人力资源有限公司,7000,10000,经验1-3年,本科,其他 / 不需要融资 / 少于15人,15,,"五险一金,周末双休,专业培训",https://www.lgstatic.com/thumbnail_120x120/10/57ec10587d2a4a9883bda161675d82d9.png,北京
数据分析师,数据分析师-【数据分析中心】[西二旗],快手,30000,60000,经验3-5年,硕士,短视频 / 上市公司 / 2000人以上,2000,社交,"发展空间大,六险一金,免费三餐,住房补贴",https://www.lgstatic.com/thumbnail_120x120/i/image/M00/49/E7/Ciqc1F9QZJSAC0VBAACwLdjC9yo459.png,北京
数据分析师,资深数据分析师（金融科技方向）[西城区],广州汇旭信息科技有限公司,30000,50000,经验5-10年,本科,无,[0],,五险一金,https://www.lgstatic.com/thumbnail_120x120/10/fbfab52e37df4b8ca6c66de4359b25e2.png,北京
数据分析师,数据分析师/科学家-【商业化分析中心】[西二旗],快手,30000,50000,经验3-5年,硕士,短视频 / 上市公司 / 2000人以上,2000,短视频,免费班车,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/49/E7/Ciqc1F9QZJSAC0VBAACwLdjC9yo459.png,北京
数据分析师,腾讯视频数据分析师[朝阳区],南方网络,15000,16000,经验1-3年,本科,其他 / 不需要融资 / 50-150人,50-150,,"五险一金,绩效奖金,年终奖金",https://www.lgstatic.com/thumbnail_120x120/10/92f1b4e428a241318eac98622bcfab77.png,北京
数据分析师,电生理数据分析师-析芒[海淀区],公司网址：http://www.gba-ci.cn/,15000,25000,经验不限,硕士,无,[0],,"五险一金,周末双休,弹性工作",https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,北京
数据分析师,高级数据分析师(J13039)[西直门],易车公司,20000,25000,经验3-5年,本科,汽车交易平台 / 上市公司 / 2000人以上,2000,社交媒体/汽车交易平台,TO B；垂直平台,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A2/2F/CgoB5lvWw_CADVPwAAAKgGo2mqM759.jpg,北京
数据分析师,资深数据分析师（到家）-抖音电商[海淀区],字节跳动,50000,100000,经验不限,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,弹性工作/就近租房补贴/节日礼品/年度体检,"下午茶,健身瑜伽,六险一金,团队氛围好",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,资深数据分析师[海淀区],字节跳动,30000,50000,经验5-10年,本科,"内容资讯,短视频 / D轮及以上 / 2000人以上",2000,互联网,"下午茶,六险一金,带薪休假,免费三餐",https://www.lgstatic.com/thumbnail_120x120/10/a245ba93a25f4defbe9cd27fd9cb69a0.png,北京
数据分析师,资深数据分析师[西二旗],快手,25000,50000,经验3-5年,本科,短视频 / 上市公司 / 2000人以上,2000,R语言/社交媒体/HTML/短视频/SQL,中国互联网行业最新战场，海外业务扩展,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/49/E7/Ciqc1F9QZJSAC0VBAACwLdjC9yo459.png,北京
数据分析师,数据分析师-【海外da】[西二旗],快手,25000,50000,经验3-5年,本科,短视频 / 上市公司 / 2000人以上,2000,短视频/Python/SQL,团队实力强,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/49/E7/Ciqc1F9QZJSAC0VBAACwLdjC9yo459.png,北京
数据分析师,数据分析师（内容推荐）(J12289)[海淀区],易车公司,35000,60000,经验3-5年,不限,汽车交易平台 / 上市公司 / 2000人以上,2000,回归算法/内容资讯/工具类产品/自然语言处理/搜索｜推荐,技术驱动,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A2/2F/CgoB5lvWw_CADVPwAAAKgGo2mqM759.jpg,北京
数据分析师,资深数据分析师[昌平区],希望学,25000,30000,经验5-10年,本科,在线教育 / 不需要融资 / 2000人以上,2000,在线教育,六险一金；十五薪,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/80/8A/Cgp9HWJgy-uAJZrQAABu8redcTs820.png,北京
